onset	duration	sample	mvc_rate	mvc_level	event_type	description
3.217773	0.0	6590	n/a	n/a	muscle_on	Time at which the muscle is activated.
3.217773	6.0	6590	5.0	0.0	linear_isometric_ramp	Linear ramp (rate: 5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 0 % MVC.
9.21875	20.0	18880	0.0	30.0	steady_isometric	Steady isometric torque at 30% MVC for 20 s
29.217773	6.0	59838	-5.0	30.0	linear_isometric_ramp	Linear ramp (rate: -5 % MVC per s; duration: 6.0 s) of the isometric torque starting at 30 % MVC.
35.21875	0.0	72128	n/a	n/a	muscle_off	Time at which the muscle is deactivated.
