name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	low_cutoff	high_cutoff
Ch047	EMG	mV	ElectroMyoGraphy	2048	E047	R1	grid1	right tibialis anterior	500	10
Ch048	EMG	mV	ElectroMyoGraphy	2048	E048	R1	grid1	right tibialis anterior	500	10
Ch049	EMG	mV	ElectroMyoGraphy	2048	E049	R1	grid1	right tibialis anterior	500	10
Ch050	EMG	mV	ElectroMyoGraphy	2048	E050	R1	grid1	right tibialis anterior	500	10
Ch051	EMG	mV	ElectroMyoGraphy	2048	E051	R1	grid1	right tibialis anterior	500	10
Ch052	EMG	mV	ElectroMyoGraphy	2048	E052	R1	grid1	right tibialis anterior	500	10
Ch053	EMG	mV	ElectroMyoGraphy	2048	E053	R1	grid1	right tibialis anterior	500	10
Ch054	EMG	mV	ElectroMyoGraphy	2048	E054	R1	grid1	right tibialis anterior	500	10
Ch055	EMG	mV	ElectroMyoGraphy	2048	E055	R1	grid1	right tibialis anterior	500	10
Ch056	EMG	mV	ElectroMyoGraphy	2048	E056	R1	grid1	right tibialis anterior	500	10
Ch057	EMG	mV	ElectroMyoGraphy	2048	E057	R1	grid1	right tibialis anterior	500	10
Ch058	EMG	mV	ElectroMyoGraphy	2048	E058	R1	grid1	right tibialis anterior	500	10
Ch059	EMG	mV	ElectroMyoGraphy	2048	E059	R1	grid1	right tibialis anterior	500	10
Ch060	EMG	mV	ElectroMyoGraphy	2048	E060	R1	grid1	right tibialis anterior	500	10
Ch061	EMG	mV	ElectroMyoGraphy	2048	E061	R1	grid1	right tibialis anterior	500	10
Ch062	EMG	mV	ElectroMyoGraphy	2048	E062	R1	grid1	right tibialis anterior	500	10
Ch063	EMG	mV	ElectroMyoGraphy	2048	E063	R1	grid1	right tibialis anterior	500	10
Ch064	EMG	mV	ElectroMyoGraphy	2048	E064	R1	grid1	right tibialis anterior	500	10
Ch065	EMG	mV	ElectroMyoGraphy	2048	E065	R1	grid2	right tibialis anterior	500	10
Ch066	EMG	mV	ElectroMyoGraphy	2048	E066	R1	grid2	right tibialis anterior	500	10
Ch067	EMG	mV	ElectroMyoGraphy	2048	E067	R1	grid2	right tibialis anterior	500	10
Ch068	EMG	mV	ElectroMyoGraphy	2048	E068	R1	grid2	right tibialis anterior	500	10
Ch069	EMG	mV	ElectroMyoGraphy	2048	E069	R1	grid2	right tibialis anterior	500	10
Ch070	EMG	mV	ElectroMyoGraphy	2048	E070	R1	grid2	right tibialis anterior	500	10
Ch071	EMG	mV	ElectroMyoGraphy	2048	E071	R1	grid2	right tibialis anterior	500	10
Ch072	EMG	mV	ElectroMyoGraphy	2048	E072	R1	grid2	right tibialis anterior	500	10
Ch073	EMG	mV	ElectroMyoGraphy	2048	E073	R1	grid2	right tibialis anterior	500	10
Ch074	EMG	mV	ElectroMyoGraphy	2048	E074	R1	grid2	right tibialis anterior	500	10
Ch075	EMG	mV	ElectroMyoGraphy	2048	E075	R1	grid2	right tibialis anterior	500	10
Ch076	EMG	mV	ElectroMyoGraphy	2048	E076	R1	grid2	right tibialis anterior	500	10
Ch077	EMG	mV	ElectroMyoGraphy	2048	E077	R1	grid2	right tibialis anterior	500	10
Ch078	EMG	mV	ElectroMyoGraphy	2048	E078	R1	grid2	right tibialis anterior	500	10
Ch079	EMG	mV	ElectroMyoGraphy	2048	E079	R1	grid2	right tibialis anterior	500	10
Ch080	EMG	mV	ElectroMyoGraphy	2048	E080	R1	grid2	right tibialis anterior	500	10
Ch081	EMG	mV	ElectroMyoGraphy	2048	E081	R1	grid2	right tibialis anterior	500	10
Ch082	EMG	mV	ElectroMyoGraphy	2048	E082	R1	grid2	right tibialis anterior	500	10
Ch083	EMG	mV	ElectroMyoGraphy	2048	E083	R1	grid2	right tibialis anterior	500	10
Ch084	EMG	mV	ElectroMyoGraphy	2048	E084	R1	grid2	right tibialis anterior	500	10
Ch085	EMG	mV	ElectroMyoGraphy	2048	E085	R1	grid2	right tibialis anterior	500	10
Ch086	EMG	mV	ElectroMyoGraphy	2048	E086	R1	grid2	right tibialis anterior	500	10
Ch087	EMG	mV	ElectroMyoGraphy	2048	E087	R1	grid2	right tibialis anterior	500	10
Ch088	EMG	mV	ElectroMyoGraphy	2048	E088	R1	grid2	right tibialis anterior	500	10
Ch089	EMG	mV	ElectroMyoGraphy	2048	E089	R1	grid2	right tibialis anterior	500	10
Ch090	EMG	mV	ElectroMyoGraphy	2048	E090	R1	grid2	right tibialis anterior	500	10
Ch091	EMG	mV	ElectroMyoGraphy	2048	E091	R1	grid2	right tibialis anterior	500	10
Ch092	EMG	mV	ElectroMyoGraphy	2048	E092	R1	grid2	right tibialis anterior	500	10
Ch093	EMG	mV	ElectroMyoGraphy	2048	E093	R1	grid2	right tibialis anterior	500	10
Ch094	EMG	mV	ElectroMyoGraphy	2048	E094	R1	grid2	right tibialis anterior	500	10
Ch095	EMG	mV	ElectroMyoGraphy	2048	E095	R1	grid2	right tibialis anterior	500	10
Ch096	EMG	mV	ElectroMyoGraphy	2048	E096	R1	grid2	right tibialis anterior	500	10
Ch097	EMG	mV	ElectroMyoGraphy	2048	E097	R1	grid2	right tibialis anterior	500	10
Ch098	EMG	mV	ElectroMyoGraphy	2048	E098	R1	grid2	right tibialis anterior	500	10
Ch099	EMG	mV	ElectroMyoGraphy	2048	E099	R1	grid2	right tibialis anterior	500	10
Ch100	EMG	mV	ElectroMyoGraphy	2048	E100	R1	grid2	right tibialis anterior	500	10
Ch101	EMG	mV	ElectroMyoGraphy	2048	E101	R1	grid2	right tibialis anterior	500	10
Ch102	EMG	mV	ElectroMyoGraphy	2048	E102	R1	grid2	right tibialis anterior	500	10
Ch103	EMG	mV	ElectroMyoGraphy	2048	E103	R1	grid2	right tibialis anterior	500	10
Ch104	EMG	mV	ElectroMyoGraphy	2048	E104	R1	grid2	right tibialis anterior	500	10
Ch105	EMG	mV	ElectroMyoGraphy	2048	E105	R1	grid2	right tibialis anterior	500	10
Ch106	EMG	mV	ElectroMyoGraphy	2048	E106	R1	grid2	right tibialis anterior	500	10
Ch107	EMG	mV	ElectroMyoGraphy	2048	E107	R1	grid2	right tibialis anterior	500	10
Ch108	EMG	mV	ElectroMyoGraphy	2048	E108	R1	grid2	right tibialis anterior	500	10
Ch109	EMG	mV	ElectroMyoGraphy	2048	E109	R1	grid2	right tibialis anterior	500	10
Ch110	EMG	mV	ElectroMyoGraphy	2048	E110	R1	grid2	right tibialis anterior	500	10
Ch111	EMG	mV	ElectroMyoGraphy	2048	E111	R1	grid2	right tibialis anterior	500	10
Ch112	EMG	mV	ElectroMyoGraphy	2048	E112	R1	grid2	right tibialis anterior	500	10
Ch113	EMG	mV	ElectroMyoGraphy	2048	E113	R1	grid2	right tibialis anterior	500	10
Ch114	EMG	mV	ElectroMyoGraphy	2048	E114	R1	grid2	right tibialis anterior	500	10
Ch115	EMG	mV	ElectroMyoGraphy	2048	E115	R1	grid2	right tibialis anterior	500	10
Ch116	EMG	mV	ElectroMyoGraphy	2048	E116	R1	grid2	right tibialis anterior	500	10
Ch117	EMG	mV	ElectroMyoGraphy	2048	E117	R1	grid2	right tibialis anterior	500	10
Ch118	EMG	mV	ElectroMyoGraphy	2048	E118	R1	grid2	right tibialis anterior	500	10
Ch119	EMG	mV	ElectroMyoGraphy	2048	E119	R1	grid2	right tibialis anterior	500	10
Ch120	EMG	mV	ElectroMyoGraphy	2048	E120	R1	grid2	right tibialis anterior	500	10
Ch121	EMG	mV	ElectroMyoGraphy	2048	E121	R1	grid2	right tibialis anterior	500	10
Ch122	EMG	mV	ElectroMyoGraphy	2048	E122	R1	grid2	right tibialis anterior	500	10
Ch123	EMG	mV	ElectroMyoGraphy	2048	E123	R1	grid2	right tibialis anterior	500	10
Ch124	EMG	mV	ElectroMyoGraphy	2048	E124	R1	grid2	right tibialis anterior	500	10
Ch125	EMG	mV	ElectroMyoGraphy	2048	E125	R1	grid2	right tibialis anterior	500	10
Ch126	EMG	mV	ElectroMyoGraphy	2048	E126	R1	grid2	right tibialis anterior	500	10
Ch127	EMG	mV	ElectroMyoGraphy	2048	E127	R1	grid2	right tibialis anterior	500	10
Ch128	EMG	mV	ElectroMyoGraphy	2048	E128	R1	grid2	right tibialis anterior	500	10
Ch129	EMG	mV	ElectroMyoGraphy	2048	E129	R1	grid3	right tibialis anterior	500	10
Ch130	EMG	mV	ElectroMyoGraphy	2048	E130	R1	grid3	right tibialis anterior	500	10
Ch131	EMG	mV	ElectroMyoGraphy	2048	E131	R1	grid3	right tibialis anterior	500	10
Ch132	EMG	mV	ElectroMyoGraphy	2048	E132	R1	grid3	right tibialis anterior	500	10
Ch133	EMG	mV	ElectroMyoGraphy	2048	E133	R1	grid3	right tibialis anterior	500	10
Ch134	EMG	mV	ElectroMyoGraphy	2048	E134	R1	grid3	right tibialis anterior	500	10
Ch135	EMG	mV	ElectroMyoGraphy	2048	E135	R1	grid3	right tibialis anterior	500	10
Ch136	EMG	mV	ElectroMyoGraphy	2048	E136	R1	grid3	right tibialis anterior	500	10
Ch137	EMG	mV	ElectroMyoGraphy	2048	E137	R1	grid3	right tibialis anterior	500	10
Ch138	EMG	mV	ElectroMyoGraphy	2048	E138	R1	grid3	right tibialis anterior	500	10
Ch139	EMG	mV	ElectroMyoGraphy	2048	E139	R1	grid3	right tibialis anterior	500	10
Ch140	EMG	mV	ElectroMyoGraphy	2048	E140	R1	grid3	right tibialis anterior	500	10
Ch141	EMG	mV	ElectroMyoGraphy	2048	E141	R1	grid3	right tibialis anterior	500	10
Ch142	EMG	mV	ElectroMyoGraphy	2048	E142	R1	grid3	right tibialis anterior	500	10
Ch143	EMG	mV	ElectroMyoGraphy	2048	E143	R1	grid3	right tibialis anterior	500	10
Ch144	EMG	mV	ElectroMyoGraphy	2048	E144	R1	grid3	right tibialis anterior	500	10
Ch145	EMG	mV	ElectroMyoGraphy	2048	E145	R1	grid3	right tibialis anterior	500	10
Ch146	EMG	mV	ElectroMyoGraphy	2048	E146	R1	grid3	right tibialis anterior	500	10
Ch147	EMG	mV	ElectroMyoGraphy	2048	E147	R1	grid3	right tibialis anterior	500	10
Ch148	EMG	mV	ElectroMyoGraphy	2048	E148	R1	grid3	right tibialis anterior	500	10
Ch149	EMG	mV	ElectroMyoGraphy	2048	E149	R1	grid3	right tibialis anterior	500	10
Ch150	EMG	mV	ElectroMyoGraphy	2048	E150	R1	grid3	right tibialis anterior	500	10
Ch151	EMG	mV	ElectroMyoGraphy	2048	E151	R1	grid3	right tibialis anterior	500	10
Ch152	EMG	mV	ElectroMyoGraphy	2048	E152	R1	grid3	right tibialis anterior	500	10
Ch153	EMG	mV	ElectroMyoGraphy	2048	E153	R1	grid3	right tibialis anterior	500	10
Ch154	EMG	mV	ElectroMyoGraphy	2048	E154	R1	grid3	right tibialis anterior	500	10
Ch155	EMG	mV	ElectroMyoGraphy	2048	E155	R1	grid3	right tibialis anterior	500	10
Ch156	EMG	mV	ElectroMyoGraphy	2048	E156	R1	grid3	right tibialis anterior	500	10
Ch157	EMG	mV	ElectroMyoGraphy	2048	E157	R1	grid3	right tibialis anterior	500	10
Ch158	EMG	mV	ElectroMyoGraphy	2048	E158	R1	grid3	right tibialis anterior	500	10
Ch159	EMG	mV	ElectroMyoGraphy	2048	E159	R1	grid3	right tibialis anterior	500	10
Ch160	EMG	mV	ElectroMyoGraphy	2048	E160	R1	grid3	right tibialis anterior	500	10
Ch161	EMG	mV	ElectroMyoGraphy	2048	E161	R1	grid3	right tibialis anterior	500	10
Ch162	EMG	mV	ElectroMyoGraphy	2048	E162	R1	grid3	right tibialis anterior	500	10
Ch163	EMG	mV	ElectroMyoGraphy	2048	E163	R1	grid3	right tibialis anterior	500	10
Ch164	EMG	mV	ElectroMyoGraphy	2048	E164	R1	grid3	right tibialis anterior	500	10
Ch165	EMG	mV	ElectroMyoGraphy	2048	E165	R1	grid3	right tibialis anterior	500	10
Ch166	EMG	mV	ElectroMyoGraphy	2048	E166	R1	grid3	right tibialis anterior	500	10
Ch167	EMG	mV	ElectroMyoGraphy	2048	E167	R1	grid3	right tibialis anterior	500	10
Ch168	EMG	mV	ElectroMyoGraphy	2048	E168	R1	grid3	right tibialis anterior	500	10
Ch169	EMG	mV	ElectroMyoGraphy	2048	E169	R1	grid3	right tibialis anterior	500	10
Ch170	EMG	mV	ElectroMyoGraphy	2048	E170	R1	grid3	right tibialis anterior	500	10
Ch171	EMG	mV	ElectroMyoGraphy	2048	E171	R1	grid3	right tibialis anterior	500	10
Ch172	EMG	mV	ElectroMyoGraphy	2048	E172	R1	grid3	right tibialis anterior	500	10
Ch173	EMG	mV	ElectroMyoGraphy	2048	E173	R1	grid3	right tibialis anterior	500	10
Ch174	EMG	mV	ElectroMyoGraphy	2048	E174	R1	grid3	right tibialis anterior	500	10
Ch175	EMG	mV	ElectroMyoGraphy	2048	E175	R1	grid3	right tibialis anterior	500	10
Ch176	EMG	mV	ElectroMyoGraphy	2048	E176	R1	grid3	right tibialis anterior	500	10
Ch177	EMG	mV	ElectroMyoGraphy	2048	E177	R1	grid3	right tibialis anterior	500	10
Ch178	EMG	mV	ElectroMyoGraphy	2048	E178	R1	grid3	right tibialis anterior	500	10
Ch179	EMG	mV	ElectroMyoGraphy	2048	E179	R1	grid3	right tibialis anterior	500	10
Ch180	EMG	mV	ElectroMyoGraphy	2048	E180	R1	grid3	right tibialis anterior	500	10
Ch181	EMG	mV	ElectroMyoGraphy	2048	E181	R1	grid3	right tibialis anterior	500	10
Ch182	EMG	mV	ElectroMyoGraphy	2048	E182	R1	grid3	right tibialis anterior	500	10
Ch183	EMG	mV	ElectroMyoGraphy	2048	E183	R1	grid3	right tibialis anterior	500	10
Ch184	EMG	mV	ElectroMyoGraphy	2048	E184	R1	grid3	right tibialis anterior	500	10
Ch185	EMG	mV	ElectroMyoGraphy	2048	E185	R1	grid3	right tibialis anterior	500	10
Ch186	EMG	mV	ElectroMyoGraphy	2048	E186	R1	grid3	right tibialis anterior	500	10
Ch187	EMG	mV	ElectroMyoGraphy	2048	E187	R1	grid3	right tibialis anterior	500	10
Ch188	EMG	mV	ElectroMyoGraphy	2048	E188	R1	grid3	right tibialis anterior	500	10
Ch189	EMG	mV	ElectroMyoGraphy	2048	E189	R1	grid3	right tibialis anterior	500	10
Ch190	EMG	mV	ElectroMyoGraphy	2048	E190	R1	grid3	right tibialis anterior	500	10
Ch191	EMG	mV	ElectroMyoGraphy	2048	E191	R1	grid3	right tibialis anterior	500	10
Ch192	EMG	mV	ElectroMyoGraphy	2048	E192	R1	grid3	right tibialis anterior	500	10
Ch193	EMG	mV	ElectroMyoGraphy	2048	E193	R1	grid4	right tibialis anterior	500	10
Ch194	EMG	mV	ElectroMyoGraphy	2048	E194	R1	grid4	right tibialis anterior	500	10
Ch195	EMG	mV	ElectroMyoGraphy	2048	E195	R1	grid4	right tibialis anterior	500	10
Ch196	EMG	mV	ElectroMyoGraphy	2048	E196	R1	grid4	right tibialis anterior	500	10
Ch197	EMG	mV	ElectroMyoGraphy	2048	E197	R1	grid4	right tibialis anterior	500	10
Ch198	EMG	mV	ElectroMyoGraphy	2048	E198	R1	grid4	right tibialis anterior	500	10
Ch199	EMG	mV	ElectroMyoGraphy	2048	E199	R1	grid4	right tibialis anterior	500	10
Ch200	EMG	mV	ElectroMyoGraphy	2048	E200	R1	grid4	right tibialis anterior	500	10
Ch201	EMG	mV	ElectroMyoGraphy	2048	E201	R1	grid4	right tibialis anterior	500	10
Ch202	EMG	mV	ElectroMyoGraphy	2048	E202	R1	grid4	right tibialis anterior	500	10
Ch203	EMG	mV	ElectroMyoGraphy	2048	E203	R1	grid4	right tibialis anterior	500	10
Ch204	EMG	mV	ElectroMyoGraphy	2048	E204	R1	grid4	right tibialis anterior	500	10
Ch205	EMG	mV	ElectroMyoGraphy	2048	E205	R1	grid4	right tibialis anterior	500	10
Ch206	EMG	mV	ElectroMyoGraphy	2048	E206	R1	grid4	right tibialis anterior	500	10
Ch207	EMG	mV	ElectroMyoGraphy	2048	E207	R1	grid4	right tibialis anterior	500	10
Ch208	EMG	mV	ElectroMyoGraphy	2048	E208	R1	grid4	right tibialis anterior	500	10
Ch209	EMG	mV	ElectroMyoGraphy	2048	E209	R1	grid4	right tibialis anterior	500	10
Ch210	EMG	mV	ElectroMyoGraphy	2048	E210	R1	grid4	right tibialis anterior	500	10
Ch211	EMG	mV	ElectroMyoGraphy	2048	E211	R1	grid4	right tibialis anterior	500	10
Ch212	EMG	mV	ElectroMyoGraphy	2048	E212	R1	grid4	right tibialis anterior	500	10
Ch213	EMG	mV	ElectroMyoGraphy	2048	E213	R1	grid4	right tibialis anterior	500	10
Ch214	EMG	mV	ElectroMyoGraphy	2048	E214	R1	grid4	right tibialis anterior	500	10
Ch215	EMG	mV	ElectroMyoGraphy	2048	E215	R1	grid4	right tibialis anterior	500	10
Ch216	EMG	mV	ElectroMyoGraphy	2048	E216	R1	grid4	right tibialis anterior	500	10
Ch217	EMG	mV	ElectroMyoGraphy	2048	E217	R1	grid4	right tibialis anterior	500	10
Ch218	EMG	mV	ElectroMyoGraphy	2048	E218	R1	grid4	right tibialis anterior	500	10
Ch219	EMG	mV	ElectroMyoGraphy	2048	E219	R1	grid4	right tibialis anterior	500	10
Ch220	EMG	mV	ElectroMyoGraphy	2048	E220	R1	grid4	right tibialis anterior	500	10
Ch221	EMG	mV	ElectroMyoGraphy	2048	E221	R1	grid4	right tibialis anterior	500	10
Ch222	EMG	mV	ElectroMyoGraphy	2048	E222	R1	grid4	right tibialis anterior	500	10
Ch223	EMG	mV	ElectroMyoGraphy	2048	E223	R1	grid4	right tibialis anterior	500	10
Ch224	EMG	mV	ElectroMyoGraphy	2048	E224	R1	grid4	right tibialis anterior	500	10
Ch225	EMG	mV	ElectroMyoGraphy	2048	E225	R1	grid4	right tibialis anterior	500	10
Ch226	EMG	mV	ElectroMyoGraphy	2048	E226	R1	grid4	right tibialis anterior	500	10
Ch227	EMG	mV	ElectroMyoGraphy	2048	E227	R1	grid4	right tibialis anterior	500	10
Ch228	EMG	mV	ElectroMyoGraphy	2048	E228	R1	grid4	right tibialis anterior	500	10
Ch229	EMG	mV	ElectroMyoGraphy	2048	E229	R1	grid4	right tibialis anterior	500	10
Ch230	EMG	mV	ElectroMyoGraphy	2048	E230	R1	grid4	right tibialis anterior	500	10
Ch231	EMG	mV	ElectroMyoGraphy	2048	E231	R1	grid4	right tibialis anterior	500	10
Ch232	EMG	mV	ElectroMyoGraphy	2048	E232	R1	grid4	right tibialis anterior	500	10
Ch233	EMG	mV	ElectroMyoGraphy	2048	E233	R1	grid4	right tibialis anterior	500	10
Ch234	EMG	mV	ElectroMyoGraphy	2048	E234	R1	grid4	right tibialis anterior	500	10
Ch235	EMG	mV	ElectroMyoGraphy	2048	E235	R1	grid4	right tibialis anterior	500	10
Ch236	EMG	mV	ElectroMyoGraphy	2048	E236	R1	grid4	right tibialis anterior	500	10
Ch237	EMG	mV	ElectroMyoGraphy	2048	E237	R1	grid4	right tibialis anterior	500	10
Ch238	EMG	mV	ElectroMyoGraphy	2048	E238	R1	grid4	right tibialis anterior	500	10
Ch239	EMG	mV	ElectroMyoGraphy	2048	E239	R1	grid4	right tibialis anterior	500	10
Ch240	EMG	mV	ElectroMyoGraphy	2048	E240	R1	grid4	right tibialis anterior	500	10
Ch241	EMG	mV	ElectroMyoGraphy	2048	E241	R1	grid4	right tibialis anterior	500	10
Ch242	EMG	mV	ElectroMyoGraphy	2048	E242	R1	grid4	right tibialis anterior	500	10
Ch243	EMG	mV	ElectroMyoGraphy	2048	E243	R1	grid4	right tibialis anterior	500	10
Ch244	EMG	mV	ElectroMyoGraphy	2048	E244	R1	grid4	right tibialis anterior	500	10
Ch245	EMG	mV	ElectroMyoGraphy	2048	E245	R1	grid4	right tibialis anterior	500	10
Ch246	EMG	mV	ElectroMyoGraphy	2048	E246	R1	grid4	right tibialis anterior	500	10
Ch247	EMG	mV	ElectroMyoGraphy	2048	E247	R1	grid4	right tibialis anterior	500	10
Ch248	EMG	mV	ElectroMyoGraphy	2048	E248	R1	grid4	right tibialis anterior	500	10
Ch249	EMG	mV	ElectroMyoGraphy	2048	E249	R1	grid4	right tibialis anterior	500	10
Ch250	EMG	mV	ElectroMyoGraphy	2048	E250	R1	grid4	right tibialis anterior	500	10
Ch251	EMG	mV	ElectroMyoGraphy	2048	E251	R1	grid4	right tibialis anterior	500	10
Ch252	EMG	mV	ElectroMyoGraphy	2048	E252	R1	grid4	right tibialis anterior	500	10
Ch253	EMG	mV	ElectroMyoGraphy	2048	E253	R1	grid4	right tibialis anterior	500	10
Ch254	EMG	mV	ElectroMyoGraphy	2048	E254	R1	grid4	right tibialis anterior	500	10
Ch255	EMG	mV	ElectroMyoGraphy	2048	E255	R1	grid4	right tibialis anterior	500	10
Ch256	EMG	mV	ElectroMyoGraphy	2048	E256	R1	grid4	right tibialis anterior	500	10
Ch257	MISC	%(MVC)	performed path	2048	n/a	n/a	n/a	n/a	n/a	n/a
Ch258	MISC	%(MVC)	requested path	2048	n/a	n/a	n/a	n/a	n/a	n/a
Ch259	MISC	V	acquired data	2048	n/a	n/a	n/a	n/a	n/a	n/a
