name	type	units	description	sampling_frequency	signal_electrode	reference	group	target_muscle	low_cutoff	high_cutoff
Ch001	EMG	mV	ElectroMyoGraphy	2048	E001	R1	grid1	right tibialis anterior	500	10
Ch002	EMG	mV	ElectroMyoGraphy	2048	E002	R1	grid1	right tibialis anterior	500	10
Ch003	EMG	mV	ElectroMyoGraphy	2048	E003	R1	grid1	right tibialis anterior	500	10
Ch004	EMG	mV	ElectroMyoGraphy	2048	E004	R1	grid1	right tibialis anterior	500	10
Ch005	EMG	mV	ElectroMyoGraphy	2048	E005	R1	grid1	right tibialis anterior	500	10
Ch006	EMG	mV	ElectroMyoGraphy	2048	E006	R1	grid1	right tibialis anterior	500	10
Ch007	EMG	mV	ElectroMyoGraphy	2048	E007	R1	grid1	right tibialis anterior	500	10
Ch008	EMG	mV	ElectroMyoGraphy	2048	E008	R1	grid1	right tibialis anterior	500	10
Ch009	EMG	mV	ElectroMyoGraphy	2048	E009	R1	grid1	right tibialis anterior	500	10
Ch010	EMG	mV	ElectroMyoGraphy	2048	E010	R1	grid1	right tibialis anterior	500	10
Ch011	EMG	mV	ElectroMyoGraphy	2048	E011	R1	grid1	right tibialis anterior	500	10
Ch012	EMG	mV	ElectroMyoGraphy	2048	E012	R1	grid1	right tibialis anterior	500	10
Ch013	EMG	mV	ElectroMyoGraphy	2048	E013	R1	grid1	right tibialis anterior	500	10
Ch014	EMG	mV	ElectroMyoGraphy	2048	E014	R1	grid1	right tibialis anterior	500	10
Ch015	EMG	mV	ElectroMyoGraphy	2048	E015	R1	grid1	right tibialis anterior	500	10
Ch016	EMG	mV	ElectroMyoGraphy	2048	E016	R1	grid1	right tibialis anterior	500	10
Ch017	EMG	mV	ElectroMyoGraphy	2048	E017	R1	grid1	right tibialis anterior	500	10
Ch018	EMG	mV	ElectroMyoGraphy	2048	E018	R1	grid1	right tibialis anterior	500	10
Ch019	EMG	mV	ElectroMyoGraphy	2048	E019	R1	grid1	right tibialis anterior	500	10
Ch020	EMG	mV	ElectroMyoGraphy	2048	E020	R1	grid1	right tibialis anterior	500	10
Ch021	EMG	mV	ElectroMyoGraphy	2048	E021	R1	grid1	right tibialis anterior	500	10
Ch022	EMG	mV	ElectroMyoGraphy	2048	E022	R1	grid1	right tibialis anterior	500	10
Ch023	EMG	mV	ElectroMyoGraphy	2048	E023	R1	grid1	right tibialis anterior	500	10
Ch024	EMG	mV	ElectroMyoGraphy	2048	E024	R1	grid1	right tibialis anterior	500	10
Ch025	EMG	mV	ElectroMyoGraphy	2048	E025	R1	grid1	right tibialis anterior	500	10
Ch026	EMG	mV	ElectroMyoGraphy	2048	E026	R1	grid1	right tibialis anterior	500	10
Ch027	EMG	mV	ElectroMyoGraphy	2048	E027	R1	grid1	right tibialis anterior	500	10
Ch028	EMG	mV	ElectroMyoGraphy	2048	E028	R1	grid1	right tibialis anterior	500	10
Ch029	EMG	mV	ElectroMyoGraphy	2048	E029	R1	grid1	right tibialis anterior	500	10
Ch030	EMG	mV	ElectroMyoGraphy	2048	E030	R1	grid1	right tibialis anterior	500	10
Ch031	EMG	mV	ElectroMyoGraphy	2048	E031	R1	grid1	right tibialis anterior	500	10
Ch032	EMG	mV	ElectroMyoGraphy	2048	E032	R1	grid1	right tibialis anterior	500	10
Ch033	EMG	mV	ElectroMyoGraphy	2048	E033	R1	grid1	right tibialis anterior	500	10
Ch034	EMG	mV	ElectroMyoGraphy	2048	E034	R1	grid1	right tibialis anterior	500	10
Ch035	EMG	mV	ElectroMyoGraphy	2048	E035	R1	grid1	right tibialis anterior	500	10
Ch036	EMG	mV	ElectroMyoGraphy	2048	E036	R1	grid1	right tibialis anterior	500	10
Ch037	EMG	mV	ElectroMyoGraphy	2048	E037	R1	grid1	right tibialis anterior	500	10
Ch038	EMG	mV	ElectroMyoGraphy	2048	E038	R1	grid1	right tibialis anterior	500	10
Ch039	EMG	mV	ElectroMyoGraphy	2048	E039	R1	grid1	right tibialis anterior	500	10
Ch040	EMG	mV	ElectroMyoGraphy	2048	E040	R1	grid1	right tibialis anterior	500	10
Ch041	EMG	mV	ElectroMyoGraphy	2048	E041	R1	grid1	right tibialis anterior	500	10
Ch042	EMG	mV	ElectroMyoGraphy	2048	E042	R1	grid1	right tibialis anterior	500	10
Ch043	EMG	mV	ElectroMyoGraphy	2048	E043	R1	grid1	right tibialis anterior	500	10
Ch044	EMG	mV	ElectroMyoGraphy	2048	E044	R1	grid1	right tibialis anterior	500	10
Ch045	EMG	mV	ElectroMyoGraphy	2048	E045	R1	grid1	right tibialis anterior	500	10
Ch046	EMG	mV	ElectroMyoGraphy	2048	E046	R1	grid1	right tibialis anterior	500	10
